721.340,39,4717.637,662.963,0.476,4718.069,661.149,0.416,4717.095,665.234,0.399,4.200,25.945,2.042,394,2,-
721.350,39,4717.695,662.711,0.477,4718.126,660.895,0.414,4717.157,664.982,0.401,4.200,25.945,1.525,394,2,-
721.360,39,4717.754,662.458,0.477,4718.182,660.642,0.412,4717.218,664.730,0.404,4.200,25.944,1.784,394,2,-
721.370,39,4717.813,662.205,0.477,4718.238,660.389,0.410,4717.280,664.478,0.407,4.200,25.943,2.419,394,2,-
721.380,39,4717.871,661.952,0.477,4718.294,660.136,0.408,4717.341,664.226,0.409,4.200,25.942,2.318,394,2,-
721.390,39,4717.929,661.700,0.477,4718.349,659.882,0.406,4717.402,663.974,0.412,4.200,25.941,2.572,394,2,-
721.400,39,4717.987,661.447,0.477,4718.404,659.629,0.404,4717.464,663.722,0.414,4.200,25.939,2.849,394,2,-
721.410,39,4718.044,661.194,0.477,4718.458,659.375,0.403,4717.525,663.470,0.416,4.200,25.937,3.290,394,2,-
721.420,39,4718.101,660.941,0.477,4718.512,659.121,0.401,4717.586,663.218,0.418,4.200,25.935,3.218,394,2,-
721.430,39,4718.158,660.688,0.477,4718.566,658.868,0.399,4717.647,662.966,0.419,4.200,25.932,3.391,394,2,-
721.440,39,4718.215,660.435,0.476,4718.618,658.614,0.398,4717.709,662.714,0.420,4.200,25.929,3.830,394,2,-
721.450,39,4718.271,660.181,0.476,4718.671,658.360,0.398,4717.770,662.462,0.421,4.200,25.926,4.186,394,2,-
721.460,39,4718.327,659.928,0.476,4718.722,658.106,0.397,4717.831,662.210,0.421,4.200,25.924,3.953,394,2,-
721.470,39,4718.382,659.675,0.475,4718.773,657.852,0.396,4717.892,661.958,0.420,4.200,25.922,4.053,394,2,-
721.480,39,4718.437,659.422,0.475,4718.823,657.597,0.396,4717.953,661.706,0.419,4.200,25.920,4.583,394,2,-
721.490,39,4718.492,659.168,0.474,4718.873,657.343,0.397,4718.013,661.454,0.418,4.200,25.919,4.846,394,2,-
721.500,39,4718.546,658.915,0.474,4718.922,657.088,0.397,4718.074,661.202,0.416,4.200,25.920,4.467,394,2,-
721.510,39,4718.599,658.661,0.473,4718.970,656.833,0.397,4718.134,660.949,0.414,4.200,25.921,4.514,394,2,-
721.520,39,4718.653,658.408,0.472,4719.018,656.579,0.398,4718.194,660.697,0.411,4.200,25.923,4.979,394,2,-
721.530,39,4718.705,658.154,0.472,4719.065,656.324,0.399,4718.254,660.445,0.408,4.200,25.925,4.903,394,2,-
721.540,39,4718.758,657.900,0.471,4719.111,656.068,0.400,4718.313,660.192,0.405,4.200,25.927,4.559,394,2,-
721.550,39,4718.810,657.646,0.471,4719.157,655.813,0.402,4718.372,659.939,0.402,4.200,25.930,4.801,394,2,-
721.560,39,4718.861,657.392,0.470,4719.203,655.558,0.403,4718.431,659.686,0.399,4.200,25.933,5.358,394,2,-
721.570,39,4718.912,657.137,0.470,4719.248,655.302,0.405,4718.488,659.433,0.396,4.200,25.935,5.111,394,2,-
721.580,39,4718.962,656.883,0.469,4719.293,655.047,0.406,4718.546,659.180,0.393,4.200,25.937,4.686,394,2,-
721.590,39,4719.012,656.628,0.469,4719.337,654.791,0.407,4718.602,658.927,0.390,4.200,25.937,4.943,394,2,-
721.600,39,4719.061,656.374,0.468,4719.381,654.536,0.408,4718.658,658.673,0.388,4.200,25.937,5.364,394,2,-
721.610,39,4719.110,656.119,0.468,4719.425,654.280,0.409,4718.713,658.419,0.385,4.200,25.938,5.032,394,2,-
721.620,39,4719.159,655.864,0.467,4719.468,654.024,0.409,4718.768,658.166,0.383,4.200,25.937,5.153,394,2,-
