"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,30.000000,0,0,0,0,0,0,0
2,2,188.000000,0,1,0,0,0,0,0
3,3,62.000000,1,1,0,0,0,0,0
4,4,39.000000,0,0,1,0,0,0,0
5,6,63.000000,0,1,1,0,0,0,0
6,7,1.000000,1,1,1,0,0,0,0
7,10,2.000000,0,1,0,1,0,0,0
8,11,18.000000,1,1,0,1,0,0,0
9,16,39.000000,0,0,0,0,1,0,0
10,18,277.000000,0,1,0,0,1,0,0
11,19,96.000000,1,1,0,0,1,0,0
12,20,46.000000,0,0,1,0,1,0,0
13,22,283.000000,0,1,1,0,1,0,0
14,23,54.000000,1,1,1,0,1,0,0
15,24,1.000000,0,0,0,1,1,0,0
16,26,106.000000,0,1,0,1,1,0,0
17,27,419.000000,1,1,0,1,1,0,0
18,28,7.000000,0,0,1,1,1,0,0
19,30,798.000000,0,1,1,1,1,0,0
20,31,659.000000,1,1,1,1,1,0,0
21,32,76.000000,0,0,0,0,0,1,0
22,33,1.000000,1,0,0,0,0,1,0
23,34,366.000000,0,1,0,0,0,1,0
24,35,163.000000,1,1,0,0,0,1,0
25,36,61.000000,0,0,1,0,0,1,0
26,38,162.000000,0,1,1,0,0,1,0
27,39,23.000000,1,1,1,0,0,1,0
28,43,26.000000,1,1,0,1,0,1,0
29,47,6.000000,1,1,1,1,0,1,0
30,48,8.000000,0,0,0,0,1,1,0
31,50,242.000000,0,1,0,0,1,1,0
32,51,350.000000,1,1,0,0,1,1,0
33,52,17.000000,0,0,1,0,1,1,0
34,54,1049.000000,0,1,1,0,1,1,0
35,55,974.000000,1,1,1,0,1,1,0
36,58,71.000000,0,1,0,1,1,1,0
37,59,1019.000000,1,1,0,1,1,1,0
38,60,4.000000,0,0,1,1,1,1,0
39,62,6314.000000,0,1,1,1,1,1,0
40,63,24854.000000,1,1,1,1,1,1,0
41,67,5.000000,1,1,0,0,0,0,1
42,75,1.000000,1,1,0,1,0,0,1
43,83,1.000000,1,1,0,0,1,0,1
44,91,2.000000,1,1,0,1,1,0,1
45,96,22.000000,0,0,0,0,0,1,1
46,97,1.000000,1,0,0,0,0,1,1
47,98,283.000000,0,1,0,0,0,1,1
48,99,831.000000,1,1,0,0,0,1,1
49,100,43.000000,0,0,1,0,0,1,1
50,101,1.000000,1,0,1,0,0,1,1
51,102,404.000000,0,1,1,0,0,1,1
52,103,369.000000,1,1,1,0,0,1,1
53,107,30.000000,1,1,0,1,0,1,1
54,110,1.000000,0,1,1,1,0,1,1
55,111,5.000000,1,1,1,1,0,1,1
56,112,1.000000,0,0,0,0,1,1,1
57,114,201.000000,0,1,0,0,1,1,1
58,115,1399.000000,1,1,0,0,1,1,1
59,116,29.000000,0,0,1,0,1,1,1
60,118,5875.000000,0,1,1,0,1,1,1
61,119,19711.000000,1,1,1,0,1,1,1
62,122,7.000000,0,1,0,1,1,1,1
63,123,1289.000000,1,1,0,1,1,1,1
64,124,9.000000,0,0,1,1,1,1,1
65,126,15786.000000,0,1,1,1,1,1,1
66,127,2201978.000000,1,1,1,1,1,1,1
