"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,2526.000000,0,0,0,0
,1,8544.000000,1,0,0,0
,2,871.000000,0,1,0,0
,3,9047.000000,1,1,0,0
,4,354.000000,0,0,1,0
,5,1933.000000,1,0,1,0
,6,6804.000000,0,1,1,0
,7,62888.000000,1,1,1,0
,8,381.000000,0,0,0,1
,9,3252.000000,1,0,0,1
,10,164.000000,0,1,0,1
,11,3478.000000,1,1,0,1
,12,1512.000000,0,0,1,1
,13,9980.000000,1,0,1,1
,14,26113.000000,0,1,1,1
,15,2149411.000000,1,1,1,1
