"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,77.000000,0,0,0,0,0,0,0
2,2,157.000000,0,1,0,0,0,0,0
3,3,105.000000,1,1,0,0,0,0,0
4,4,65.000000,0,0,1,0,0,0,0
5,6,24.000000,0,1,1,0,0,0,0
6,7,5.000000,1,1,1,0,0,0,0
7,12,4.000000,0,0,1,1,0,0,0
8,14,1.000000,0,1,1,1,0,0,0
9,16,65.000000,0,0,0,0,1,0,0
10,17,3.000000,1,0,0,0,1,0,0
11,18,49.000000,0,1,0,0,1,0,0
12,19,155.000000,1,1,0,0,1,0,0
13,20,79.000000,0,0,1,0,1,0,0
14,21,4.000000,1,0,1,0,1,0,0
15,22,87.000000,0,1,1,0,1,0,0
16,23,108.000000,1,1,1,0,1,0,0
17,28,64.000000,0,0,1,1,1,0,0
18,29,1.000000,1,0,1,1,1,0,0
19,30,36.000000,0,1,1,1,1,0,0
20,31,22.000000,1,1,1,1,1,0,0
21,32,137.000000,0,0,0,0,0,1,0
22,34,236.000000,0,1,0,0,0,1,0
23,35,173.000000,1,1,0,0,0,1,0
24,36,263.000000,0,0,1,0,0,1,0
25,38,368.000000,0,1,1,0,0,1,0
26,39,263.000000,1,1,1,0,0,1,0
27,40,1.000000,0,0,0,1,0,1,0
28,42,3.000000,0,1,0,1,0,1,0
29,44,102.000000,0,0,1,1,0,1,0
30,46,106.000000,0,1,1,1,0,1,0
31,47,46.000000,1,1,1,1,0,1,0
32,48,16.000000,0,0,0,0,1,1,0
33,50,48.000000,0,1,0,0,1,1,0
34,51,262.000000,1,1,0,0,1,1,0
35,52,183.000000,0,0,1,0,1,1,0
36,53,7.000000,1,0,1,0,1,1,0
37,54,1209.000000,0,1,1,0,1,1,0
38,55,3800.000000,1,1,1,0,1,1,0
39,60,735.000000,0,0,1,1,1,1,0
40,61,11.000000,1,0,1,1,1,1,0
41,62,5373.000000,0,1,1,1,1,1,0
42,63,6586.000000,1,1,1,1,1,1,0
43,64,1.000000,0,0,0,0,0,0,1
44,66,14.000000,0,1,0,0,0,0,1
45,67,27.000000,1,1,0,0,0,0,1
46,83,3.000000,1,1,0,0,1,0,1
47,87,5.000000,1,1,1,0,1,0,1
48,96,46.000000,0,0,0,0,0,1,1
49,98,164.000000,0,1,0,0,0,1,1
50,99,567.000000,1,1,0,0,0,1,1
51,100,61.000000,0,0,1,0,0,1,1
52,101,1.000000,1,0,1,0,0,1,1
53,102,521.000000,0,1,1,0,0,1,1
54,103,1976.000000,1,1,1,0,0,1,1
55,104,3.000000,0,0,0,1,0,1,1
56,106,6.000000,0,1,0,1,0,1,1
57,107,6.000000,1,1,0,1,0,1,1
58,108,292.000000,0,0,1,1,0,1,1
59,110,1397.000000,0,1,1,1,0,1,1
60,111,1424.000000,1,1,1,1,0,1,1
61,114,9.000000,0,1,0,0,1,1,1
62,115,190.000000,1,1,0,0,1,1,1
63,116,5.000000,0,0,1,0,1,1,1
64,118,1476.000000,0,1,1,0,1,1,1
65,119,17670.000000,1,1,1,0,1,1,1
66,124,597.000000,0,0,1,1,1,1,1
67,125,2.000000,1,0,1,1,1,1,1
68,126,52296.000000,0,1,1,1,1,1,1
69,127,2187460.000000,1,1,1,1,1,1,1
