"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,110.000000,0,0,0,0,0,0,0
2,1,89.000000,1,0,0,0,0,0,0
3,2,98.000000,0,1,0,0,0,0,0
4,3,161.000000,1,1,0,0,0,0,0
5,8,9.000000,0,0,0,1,0,0,0
6,9,4.000000,1,0,0,1,0,0,0
7,10,2.000000,0,1,0,1,0,0,0
8,11,14.000000,1,1,0,1,0,0,0
9,16,9.000000,0,0,0,0,1,0,0
10,17,11.000000,1,0,0,0,1,0,0
11,18,663.000000,0,1,0,0,1,0,0
12,19,763.000000,1,1,0,0,1,0,0
13,20,1.000000,0,0,1,0,1,0,0
14,22,240.000000,0,1,1,0,1,0,0
15,23,119.000000,1,1,1,0,1,0,0
16,24,3.000000,0,0,0,1,1,0,0
17,25,1.000000,1,0,0,1,1,0,0
18,26,162.000000,0,1,0,1,1,0,0
19,27,512.000000,1,1,0,1,1,0,0
20,30,131.000000,0,1,1,1,1,0,0
21,31,251.000000,1,1,1,1,1,0,0
22,32,6.000000,0,0,0,0,0,1,0
23,33,3.000000,1,0,0,0,0,1,0
24,34,28.000000,0,1,0,0,0,1,0
25,35,178.000000,1,1,0,0,0,1,0
26,38,1.000000,0,1,1,0,0,1,0
27,43,7.000000,1,1,0,1,0,1,0
28,49,1.000000,1,0,0,0,1,1,0
29,50,311.000000,0,1,0,0,1,1,0
30,51,3758.000000,1,1,0,0,1,1,0
31,54,995.000000,0,1,1,0,1,1,0
32,55,6825.000000,1,1,1,0,1,1,0
33,58,15.000000,0,1,0,1,1,1,0
34,59,2314.000000,1,1,0,1,1,1,0
35,62,451.000000,0,1,1,1,1,1,0
36,63,25482.000000,1,1,1,1,1,1,0
37,67,9.000000,1,1,0,0,0,0,1
38,72,7.000000,0,0,0,1,0,0,1
39,73,7.000000,1,0,0,1,0,0,1
40,74,21.000000,0,1,0,1,0,0,1
41,75,53.000000,1,1,0,1,0,0,1
42,81,1.000000,1,0,0,0,1,0,1
43,82,4.000000,0,1,0,0,1,0,1
44,83,56.000000,1,1,0,0,1,0,1
45,86,15.000000,0,1,1,0,1,0,1
46,87,8.000000,1,1,1,0,1,0,1
47,88,8.000000,0,0,0,1,1,0,1
48,89,15.000000,1,0,0,1,1,0,1
49,90,358.000000,0,1,0,1,1,0,1
50,91,2716.000000,1,1,0,1,1,0,1
51,93,1.000000,1,0,1,1,1,0,1
52,94,1972.000000,0,1,1,1,1,0,1
53,95,4683.000000,1,1,1,1,1,0,1
54,99,2.000000,1,1,0,0,0,1,1
55,107,9.000000,1,1,0,1,0,1,1
56,115,96.000000,1,1,0,0,1,1,1
57,118,38.000000,0,1,1,0,1,1,1
58,119,823.000000,1,1,1,0,1,1,1
59,122,31.000000,0,1,0,1,1,1,1
60,123,6353.000000,1,1,0,1,1,1,1
61,126,3094.000000,0,1,1,1,1,1,1
62,127,2223150.000000,1,1,1,1,1,1,1
