"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,97.000000,0,0,0,0,0,0,0
2,1,19.000000,1,0,0,0,0,0,0
3,2,19.000000,0,1,0,0,0,0,0
4,3,3.000000,1,1,0,0,0,0,0
5,4,12.000000,0,0,1,0,0,0,0
6,6,10.000000,0,1,1,0,0,0,0
7,16,27.000000,0,0,0,0,1,0,0
8,17,5.000000,1,0,0,0,1,0,0
9,18,815.000000,0,1,0,0,1,0,0
10,19,365.000000,1,1,0,0,1,0,0
11,20,3.000000,0,0,1,0,1,0,0
12,22,195.000000,0,1,1,0,1,0,0
13,23,46.000000,1,1,1,0,1,0,0
14,26,180.000000,0,1,0,1,1,0,0
15,27,1238.000000,1,1,0,1,1,0,0
16,30,123.000000,0,1,1,1,1,0,0
17,31,576.000000,1,1,1,1,1,0,0
18,32,72.000000,0,0,0,0,0,1,0
19,33,21.000000,1,0,0,0,0,1,0
20,34,15.000000,0,1,0,0,0,1,0
21,35,23.000000,1,1,0,0,0,1,0
22,36,3.000000,0,0,1,0,0,1,0
23,38,3.000000,0,1,1,0,0,1,0
24,39,3.000000,1,1,1,0,0,1,0
25,48,31.000000,0,0,0,0,1,1,0
26,49,47.000000,1,0,0,0,1,1,0
27,50,791.000000,0,1,0,0,1,1,0
28,51,3870.000000,1,1,0,0,1,1,0
29,52,3.000000,0,0,1,0,1,1,0
30,53,4.000000,1,0,1,0,1,1,0
31,54,433.000000,0,1,1,0,1,1,0
32,55,2710.000000,1,1,1,0,1,1,0
33,57,1.000000,1,0,0,1,1,1,0
34,58,55.000000,0,1,0,1,1,1,0
35,59,6007.000000,1,1,0,1,1,1,0
36,62,258.000000,0,1,1,1,1,1,0
37,63,25403.000000,1,1,1,1,1,1,0
38,70,1.000000,0,1,1,0,0,0,1
39,82,5.000000,0,1,0,0,1,0,1
40,83,1.000000,1,1,0,0,1,0,1
41,86,328.000000,0,1,1,0,1,0,1
42,87,99.000000,1,1,1,0,1,0,1
43,90,6.000000,0,1,0,1,1,0,1
44,91,20.000000,1,1,0,1,1,0,1
45,94,1775.000000,0,1,1,1,1,0,1
46,95,2860.000000,1,1,1,1,1,0,1
47,96,1.000000,0,0,0,0,0,1,1
48,98,1.000000,0,1,0,0,0,1,1
49,99,1.000000,1,1,0,0,0,1,1
50,100,1.000000,0,0,1,0,0,1,1
51,101,1.000000,1,0,1,0,0,1,1
52,102,2.000000,0,1,1,0,0,1,1
53,103,1.000000,1,1,1,0,0,1,1
54,114,70.000000,0,1,0,0,1,1,1
55,115,121.000000,1,1,0,0,1,1,1
56,116,7.000000,0,0,1,0,1,1,1
57,117,3.000000,1,0,1,0,1,1,1
58,118,3014.000000,0,1,1,0,1,1,1
59,119,8474.000000,1,1,1,0,1,1,1
60,122,12.000000,0,1,0,1,1,1,1
61,123,682.000000,1,1,0,1,1,1,1
62,126,5793.000000,0,1,1,1,1,1,1
63,127,2220493.000000,1,1,1,1,1,1,1
