"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,35.000000,0,0,0,0,0,0,0
2,2,149.000000,0,1,0,0,0,0,0
3,3,52.000000,1,1,0,0,0,0,0
4,4,19.000000,0,0,1,0,0,0,0
5,6,45.000000,0,1,1,0,0,0,0
6,7,1.000000,1,1,1,0,0,0,0
7,11,7.000000,1,1,0,1,0,0,0
8,16,13.000000,0,0,0,0,1,0,0
9,18,557.000000,0,1,0,0,1,0,0
10,19,201.000000,1,1,0,0,1,0,0
11,20,8.000000,0,0,1,0,1,0,0
12,22,455.000000,0,1,1,0,1,0,0
13,23,93.000000,1,1,1,0,1,0,0
14,26,146.000000,0,1,0,1,1,0,0
15,27,754.000000,1,1,0,1,1,0,0
16,30,1499.000000,0,1,1,1,1,0,0
17,31,1519.000000,1,1,1,1,1,0,0
18,32,92.000000,0,0,0,0,0,1,0
19,34,178.000000,0,1,0,0,0,1,0
20,35,83.000000,1,1,0,0,0,1,0
21,36,12.000000,0,0,1,0,0,1,0
22,38,43.000000,0,1,1,0,0,1,0
23,39,3.000000,1,1,1,0,0,1,0
24,43,7.000000,1,1,0,1,0,1,0
25,48,1.000000,0,0,0,0,1,1,0
26,50,352.000000,0,1,0,0,1,1,0
27,51,564.000000,1,1,0,0,1,1,0
28,52,1.000000,0,0,1,0,1,1,0
29,54,849.000000,0,1,1,0,1,1,0
30,55,1068.000000,1,1,1,0,1,1,0
31,58,75.000000,0,1,0,1,1,1,0
32,59,1573.000000,1,1,0,1,1,1,0
33,62,4064.000000,0,1,1,1,1,1,0
34,63,39461.000000,1,1,1,1,1,1,0
35,70,1.000000,0,1,1,0,0,0,1
36,86,7.000000,0,1,1,0,1,0,1
37,94,6.000000,0,1,1,1,1,0,1
38,95,1.000000,1,1,1,1,1,0,1
39,96,6.000000,0,0,0,0,0,1,1
40,98,134.000000,0,1,0,0,0,1,1
41,99,347.000000,1,1,0,0,0,1,1
42,100,5.000000,0,0,1,0,0,1,1
43,102,106.000000,0,1,1,0,0,1,1
44,103,50.000000,1,1,1,0,0,1,1
45,107,8.000000,1,1,0,1,0,1,1
46,112,3.000000,0,0,0,0,1,1,1
47,114,426.000000,0,1,0,0,1,1,1
48,115,2654.000000,1,1,0,0,1,1,1
49,116,1.000000,0,0,1,0,1,1,1
50,118,4193.000000,0,1,1,0,1,1,1
51,119,14854.000000,1,1,1,0,1,1,1
52,122,16.000000,0,1,0,1,1,1,1
53,123,2500.000000,1,1,0,1,1,1,1
54,126,8248.000000,0,1,1,1,1,1,1
55,127,2199713.000000,1,1,1,1,1,1,1
