"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,725.000000,0,0,0,0,0,0,0
2,1,84.000000,1,0,0,0,0,0,0
3,2,263.000000,0,1,0,0,0,0,0
4,3,715.000000,1,1,0,0,0,0,0
5,4,64.000000,0,0,1,0,0,0,0
6,5,2.000000,1,0,1,0,0,0,0
7,6,34.000000,0,1,1,0,0,0,0
8,7,156.000000,1,1,1,0,0,0,0
9,8,6.000000,0,0,0,1,0,0,0
10,12,3.000000,0,0,1,1,0,0,0
11,14,1.000000,0,1,1,1,0,0,0
12,15,1.000000,1,1,1,1,0,0,0
13,16,126.000000,0,0,0,0,1,0,0
14,17,99.000000,1,0,0,0,1,0,0
15,18,42.000000,0,1,0,0,1,0,0
16,19,348.000000,1,1,0,0,1,0,0
17,20,1.000000,0,0,1,0,1,0,0
18,21,5.000000,1,0,1,0,1,0,0
19,22,3.000000,0,1,1,0,1,0,0
20,23,62.000000,1,1,1,0,1,0,0
21,24,1.000000,0,0,0,1,1,0,0
22,26,1.000000,0,1,0,1,1,0,0
23,32,501.000000,0,0,0,0,0,1,0
24,33,73.000000,1,0,0,0,0,1,0
25,34,62.000000,0,1,0,0,0,1,0
26,35,245.000000,1,1,0,0,0,1,0
27,36,38.000000,0,0,1,0,0,1,0
28,37,8.000000,1,0,1,0,0,1,0
29,38,60.000000,0,1,1,0,0,1,0
30,39,181.000000,1,1,1,0,0,1,0
31,40,48.000000,0,0,0,1,0,1,0
32,41,1.000000,1,0,0,1,0,1,0
33,42,3.000000,0,1,0,1,0,1,0
34,43,2.000000,1,1,0,1,0,1,0
35,44,24.000000,0,0,1,1,0,1,0
36,45,2.000000,1,0,1,1,0,1,0
37,46,17.000000,0,1,1,1,0,1,0
38,47,22.000000,1,1,1,1,0,1,0
39,48,1638.000000,0,0,0,0,1,1,0
40,49,722.000000,1,0,0,0,1,1,0
41,50,333.000000,0,1,0,0,1,1,0
42,51,2313.000000,1,1,0,0,1,1,0
43,52,206.000000,0,0,1,0,1,1,0
44,53,81.000000,1,0,1,0,1,1,0
45,54,306.000000,0,1,1,0,1,1,0
46,55,1432.000000,1,1,1,0,1,1,0
47,56,489.000000,0,0,0,1,1,1,0
48,57,69.000000,1,0,0,1,1,1,0
49,58,43.000000,0,1,0,1,1,1,0
50,59,112.000000,1,1,0,1,1,1,0
51,60,347.000000,0,0,1,1,1,1,0
52,61,44.000000,1,0,1,1,1,1,0
53,62,247.000000,0,1,1,1,1,1,0
54,63,418.000000,1,1,1,1,1,1,0
55,64,7.000000,0,0,0,0,0,0,1
56,66,15.000000,0,1,0,0,0,0,1
57,67,87.000000,1,1,0,0,0,0,1
58,68,203.000000,0,0,1,0,0,0,1
59,69,3.000000,1,0,1,0,0,0,1
60,70,262.000000,0,1,1,0,0,0,1
61,71,1295.000000,1,1,1,0,0,0,1
62,72,1.000000,0,0,0,1,0,0,1
63,76,91.000000,0,0,1,1,0,0,1
64,78,296.000000,0,1,1,1,0,0,1
65,79,1038.000000,1,1,1,1,0,0,1
66,80,2.000000,0,0,0,0,1,0,1
67,82,4.000000,0,1,0,0,1,0,1
68,83,29.000000,1,1,0,0,1,0,1
69,84,4.000000,0,0,1,0,1,0,1
70,85,1.000000,1,0,1,0,1,0,1
71,86,20.000000,0,1,1,0,1,0,1
72,87,233.000000,1,1,1,0,1,0,1
73,92,6.000000,0,0,1,1,1,0,1
74,94,3.000000,0,1,1,1,1,0,1
75,95,60.000000,1,1,1,1,1,0,1
76,96,6.000000,0,0,0,0,0,1,1
77,97,3.000000,1,0,0,0,0,1,1
78,98,18.000000,0,1,0,0,0,1,1
79,99,88.000000,1,1,0,0,0,1,1
80,100,139.000000,0,0,1,0,0,1,1
81,101,10.000000,1,0,1,0,0,1,1
82,102,435.000000,0,1,1,0,0,1,1
83,103,2945.000000,1,1,1,0,0,1,1
84,104,18.000000,0,0,0,1,0,1,1
85,106,5.000000,0,1,0,1,0,1,1
86,107,9.000000,1,1,0,1,0,1,1
87,108,597.000000,0,0,1,1,0,1,1
88,109,12.000000,1,0,1,1,0,1,1
89,110,4973.000000,0,1,1,1,0,1,1
90,111,15740.000000,1,1,1,1,0,1,1
91,112,56.000000,0,0,0,0,1,1,1
92,113,31.000000,1,0,0,0,1,1,1
93,114,119.000000,0,1,0,0,1,1,1
94,115,468.000000,1,1,0,0,1,1,1
95,116,327.000000,0,0,1,0,1,1,1
96,117,96.000000,1,0,1,0,1,1,1
97,118,2377.000000,0,1,1,0,1,1,1
98,119,23603.000000,1,1,1,0,1,1,1
99,120,176.000000,0,0,0,1,1,1,1
100,121,17.000000,1,0,0,1,1,1,1
101,122,143.000000,0,1,0,1,1,1,1
102,123,155.000000,1,1,0,1,1,1,1
103,124,4447.000000,0,0,1,1,1,1,1
104,125,393.000000,1,0,1,1,1,1,1
105,126,59243.000000,0,1,1,1,1,1,1
106,127,2154120.000000,1,1,1,1,1,1,1
