"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,1230.000000,0,0,0,0
,1,238.000000,1,0,0,0
,2,521.000000,0,1,0,0
,3,2289.000000,1,1,0,0
,4,1108.000000,0,0,1,0
,5,119.000000,1,0,1,0
,6,2629.000000,0,1,1,0
,7,22527.000000,1,1,1,0
,8,198.000000,0,0,0,1
,9,21.000000,1,0,0,1
,10,13.000000,0,1,0,1
,11,63.000000,1,1,0,1
,12,5570.000000,0,0,1,1
,13,304.000000,1,0,1,1
,14,42200.000000,0,1,1,1
,15,2208228.000000,1,1,1,1
