"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,120.000000,0,0,0,0,0,0,0
2,1,2.000000,1,0,0,0,0,0,0
3,2,172.000000,0,1,0,0,0,0,0
4,3,45.000000,1,1,0,0,0,0,0
5,4,44.000000,0,0,1,0,0,0,0
6,6,18.000000,0,1,1,0,0,0,0
7,7,39.000000,1,1,1,0,0,0,0
8,12,1.000000,0,0,1,1,0,0,0
9,16,47.000000,0,0,0,0,1,0,0
10,17,6.000000,1,0,0,0,1,0,0
11,18,19.000000,0,1,0,0,1,0,0
12,19,76.000000,1,1,0,0,1,0,0
13,20,44.000000,0,0,1,0,1,0,0
14,21,2.000000,1,0,1,0,1,0,0
15,22,17.000000,0,1,1,0,1,0,0
16,23,53.000000,1,1,1,0,1,0,0
17,28,17.000000,0,0,1,1,1,0,0
18,30,4.000000,0,1,1,1,1,0,0
19,31,2.000000,1,1,1,1,1,0,0
20,32,60.000000,0,0,0,0,0,1,0
21,34,68.000000,0,1,0,0,0,1,0
22,35,49.000000,1,1,0,0,0,1,0
23,36,499.000000,0,0,1,0,0,1,0
24,37,1.000000,1,0,1,0,0,1,0
25,38,426.000000,0,1,1,0,0,1,0
26,39,460.000000,1,1,1,0,0,1,0
27,44,181.000000,0,0,1,1,0,1,0
28,45,1.000000,1,0,1,1,0,1,0
29,46,93.000000,0,1,1,1,0,1,0
30,47,64.000000,1,1,1,1,0,1,0
31,48,9.000000,0,0,0,0,1,1,0
32,49,1.000000,1,0,0,0,1,1,0
33,50,13.000000,0,1,0,0,1,1,0
34,51,50.000000,1,1,0,0,1,1,0
35,52,314.000000,0,0,1,0,1,1,0
36,53,9.000000,1,0,1,0,1,1,0
37,54,1168.000000,0,1,1,0,1,1,0
38,55,3077.000000,1,1,1,0,1,1,0
39,60,1481.000000,0,0,1,1,1,1,0
40,61,12.000000,1,0,1,1,1,1,0
41,62,3971.000000,0,1,1,1,1,1,0
42,63,4088.000000,1,1,1,1,1,1,0
43,64,9.000000,0,0,0,0,0,0,1
44,66,15.000000,0,1,0,0,0,0,1
45,67,11.000000,1,1,0,0,0,0,1
46,71,8.000000,1,1,1,0,0,0,1
47,83,3.000000,1,1,0,0,1,0,1
48,87,3.000000,1,1,1,0,1,0,1
49,96,20.000000,0,0,0,0,0,1,1
50,98,47.000000,0,1,0,0,0,1,1
51,99,153.000000,1,1,0,0,0,1,1
52,100,185.000000,0,0,1,0,0,1,1
53,101,6.000000,1,0,1,0,0,1,1
54,102,861.000000,0,1,1,0,0,1,1
55,103,2789.000000,1,1,1,0,0,1,1
56,108,569.000000,0,0,1,1,0,1,1
57,109,1.000000,1,0,1,1,0,1,1
58,110,2310.000000,0,1,1,1,0,1,1
59,111,2588.000000,1,1,1,1,0,1,1
60,114,3.000000,0,1,0,0,1,1,1
61,115,25.000000,1,1,0,0,1,1,1
62,116,14.000000,0,0,1,0,1,1,1
63,118,1409.000000,0,1,1,0,1,1,1
64,119,11884.000000,1,1,1,0,1,1,1
65,124,1540.000000,0,0,1,1,1,1,1
66,125,3.000000,1,0,1,1,1,1,1
67,126,82804.000000,0,1,1,1,1,1,1
68,127,2163175.000000,1,1,1,1,1,1,1
