"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,68.000000,0,0,0,0,0,0,0
2,1,22.000000,1,0,0,0,0,0,0
3,2,263.000000,0,1,0,0,0,0,0
4,3,340.000000,1,1,0,0,0,0,0
5,6,6.000000,0,1,1,0,0,0,0
6,8,4.000000,0,0,0,1,0,0,0
7,10,10.000000,0,1,0,1,0,0,0
8,11,99.000000,1,1,0,1,0,0,0
9,16,51.000000,0,0,0,0,1,0,0
10,17,2.000000,1,0,0,0,1,0,0
11,18,495.000000,0,1,0,0,1,0,0
12,19,542.000000,1,1,0,0,1,0,0
13,20,2.000000,0,0,1,0,1,0,0
14,22,297.000000,0,1,1,0,1,0,0
15,23,121.000000,1,1,1,0,1,0,0
16,24,20.000000,0,0,0,1,1,0,0
17,26,146.000000,0,1,0,1,1,0,0
18,27,489.000000,1,1,0,1,1,0,0
19,28,2.000000,0,0,1,1,1,0,0
20,30,94.000000,0,1,1,1,1,0,0
21,31,175.000000,1,1,1,1,1,0,0
22,34,170.000000,0,1,0,0,0,1,0
23,35,580.000000,1,1,0,0,0,1,0
24,38,20.000000,0,1,1,0,0,1,0
25,39,59.000000,1,1,1,0,0,1,0
26,43,39.000000,1,1,0,1,0,1,0
27,50,357.000000,0,1,0,0,1,1,0
28,51,2988.000000,1,1,0,0,1,1,0
29,54,1623.000000,0,1,1,0,1,1,0
30,55,9057.000000,1,1,1,0,1,1,0
31,58,30.000000,0,1,0,1,1,1,0
32,59,2006.000000,1,1,0,1,1,1,0
33,62,493.000000,0,1,1,1,1,1,0
34,63,28584.000000,1,1,1,1,1,1,0
35,67,3.000000,1,1,0,0,0,0,1
36,74,11.000000,0,1,0,1,0,0,1
37,75,61.000000,1,1,0,1,0,0,1
38,81,1.000000,1,0,0,0,1,0,1
39,82,4.000000,0,1,0,0,1,0,1
40,83,7.000000,1,1,0,0,1,0,1
41,84,1.000000,0,0,1,0,1,0,1
42,86,14.000000,0,1,1,0,1,0,1
43,87,4.000000,1,1,1,0,1,0,1
44,88,2.000000,0,0,0,1,1,0,1
45,89,5.000000,1,0,0,1,1,0,1
46,90,413.000000,0,1,0,1,1,0,1
47,91,1999.000000,1,1,0,1,1,0,1
48,92,1.000000,0,0,1,1,1,0,1
49,93,1.000000,1,0,1,1,1,0,1
50,94,1871.000000,0,1,1,1,1,0,1
51,95,2606.000000,1,1,1,1,1,0,1
52,107,16.000000,1,1,0,1,0,1,1
53,114,1.000000,0,1,0,0,1,1,1
54,115,26.000000,1,1,0,0,1,1,1
55,118,234.000000,0,1,1,0,1,1,1
56,119,868.000000,1,1,1,0,1,1,1
57,122,58.000000,0,1,0,1,1,1,1
58,123,3729.000000,1,1,0,1,1,1,1
59,126,7202.000000,0,1,1,1,1,1,1
60,127,2218866.000000,1,1,1,1,1,1,1
