"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,40.000000,0,0,0,0,0,0,0
2,2,199.000000,0,1,0,0,0,0,0
3,3,79.000000,1,1,0,0,0,0,0
4,4,57.000000,0,0,1,0,0,0,0
5,6,38.000000,0,1,1,0,0,0,0
6,7,1.000000,1,1,1,0,0,0,0
7,12,8.000000,0,0,1,1,0,0,0
8,14,1.000000,0,1,1,1,0,0,0
9,16,1.000000,0,0,0,0,1,0,0
10,18,4.000000,0,1,0,0,1,0,0
11,19,26.000000,1,1,0,0,1,0,0
12,23,1.000000,1,1,1,0,1,0,0
13,32,44.000000,0,0,0,0,0,1,0
14,34,108.000000,0,1,0,0,0,1,0
15,35,38.000000,1,1,0,0,0,1,0
16,36,76.000000,0,0,1,0,0,1,0
17,38,125.000000,0,1,1,0,0,1,0
18,39,16.000000,1,1,1,0,0,1,0
19,44,16.000000,0,0,1,1,0,1,0
20,46,17.000000,0,1,1,1,0,1,0
21,47,13.000000,1,1,1,1,0,1,0
22,48,12.000000,0,0,0,0,1,1,0
23,50,69.000000,0,1,0,0,1,1,0
24,51,257.000000,1,1,0,0,1,1,0
25,52,13.000000,0,0,1,0,1,1,0
26,54,135.000000,0,1,1,0,1,1,0
27,55,214.000000,1,1,1,0,1,1,0
28,60,69.000000,0,0,1,1,1,1,0
29,62,179.000000,0,1,1,1,1,1,0
30,63,85.000000,1,1,1,1,1,1,0
31,64,139.000000,0,0,0,0,0,0,1
32,66,590.000000,0,1,0,0,0,0,1
33,67,1169.000000,1,1,0,0,0,0,1
34,68,137.000000,0,0,1,0,0,0,1
35,70,430.000000,0,1,1,0,0,0,1
36,71,813.000000,1,1,1,0,0,0,1
37,72,7.000000,0,0,0,1,0,0,1
38,74,32.000000,0,1,0,1,0,0,1
39,75,21.000000,1,1,0,1,0,0,1
40,76,131.000000,0,0,1,1,0,0,1
41,78,886.000000,0,1,1,1,0,0,1
42,79,697.000000,1,1,1,1,0,0,1
43,82,2.000000,0,1,0,0,1,0,1
44,83,73.000000,1,1,0,0,1,0,1
45,86,3.000000,0,1,1,0,1,0,1
46,87,26.000000,1,1,1,0,1,0,1
47,91,1.000000,1,1,0,1,1,0,1
48,94,3.000000,0,1,1,1,1,0,1
49,95,6.000000,1,1,1,1,1,0,1
50,96,31.000000,0,0,0,0,0,1,1
51,98,155.000000,0,1,0,0,0,1,1
52,99,528.000000,1,1,0,0,0,1,1
53,100,37.000000,0,0,1,0,0,1,1
54,102,1000.000000,0,1,1,0,0,1,1
55,103,4703.000000,1,1,1,0,0,1,1
56,106,9.000000,0,1,0,1,0,1,1
57,107,3.000000,1,1,0,1,0,1,1
58,108,147.000000,0,0,1,1,0,1,1
59,110,8013.000000,0,1,1,1,0,1,1
60,111,19951.000000,1,1,1,1,0,1,1
61,112,1.000000,0,0,0,0,1,1,1
62,114,55.000000,0,1,0,0,1,1,1
63,115,1060.000000,1,1,0,0,1,1,1
64,116,7.000000,0,0,1,0,1,1,1
65,118,1532.000000,0,1,1,0,1,1,1
66,119,23656.000000,1,1,1,0,1,1,1
67,123,1.000000,1,1,0,1,1,1,1
68,124,136.000000,0,0,1,1,1,1,1
69,126,32666.000000,0,1,1,1,1,1,1
70,127,2186460.000000,1,1,1,1,1,1,1
