"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,8.000000,0,0,0,0,0,0,0
2,2,4.000000,0,1,0,0,0,0,0
3,6,1.000000,0,1,1,0,0,0,0
4,10,1.000000,0,1,0,1,0,0,0
5,16,255.000000,0,0,0,0,1,0,0
6,17,132.000000,1,0,0,0,1,0,0
7,18,764.000000,0,1,0,0,1,0,0
8,19,403.000000,1,1,0,0,1,0,0
9,20,23.000000,0,0,1,0,1,0,0
10,22,156.000000,0,1,1,0,1,0,0
11,23,83.000000,1,1,1,0,1,0,0
12,24,2.000000,0,0,0,1,1,0,0
13,25,18.000000,1,0,0,1,1,0,0
14,26,224.000000,0,1,0,1,1,0,0
15,27,1912.000000,1,1,0,1,1,0,0
16,30,360.000000,0,1,1,1,1,0,0
17,31,2302.000000,1,1,1,1,1,0,0
18,32,2.000000,0,0,0,0,0,1,0
19,48,157.000000,0,0,0,0,1,1,0
20,49,356.000000,1,0,0,0,1,1,0
21,50,387.000000,0,1,0,0,1,1,0
22,51,2697.000000,1,1,0,0,1,1,0
23,52,2.000000,0,0,1,0,1,1,0
24,53,2.000000,1,0,1,0,1,1,0
25,54,114.000000,0,1,1,0,1,1,0
26,55,532.000000,1,1,1,0,1,1,0
27,57,22.000000,1,0,0,1,1,1,0
28,58,48.000000,0,1,0,1,1,1,0
29,59,7350.000000,1,1,0,1,1,1,0
30,62,128.000000,0,1,1,1,1,1,0
31,63,20739.000000,1,1,1,1,1,1,0
32,80,3.000000,0,0,0,0,1,0,1
33,81,1.000000,1,0,0,0,1,0,1
34,82,17.000000,0,1,0,0,1,0,1
35,83,11.000000,1,1,0,0,1,0,1
36,84,15.000000,0,0,1,0,1,0,1
37,85,2.000000,1,0,1,0,1,0,1
38,86,386.000000,0,1,1,0,1,0,1
39,87,101.000000,1,1,1,0,1,0,1
40,90,1.000000,0,1,0,1,1,0,1
41,91,21.000000,1,1,0,1,1,0,1
42,94,1423.000000,0,1,1,1,1,0,1
43,95,4444.000000,1,1,1,1,1,0,1
44,112,55.000000,0,0,0,0,1,1,1
45,113,31.000000,1,0,0,0,1,1,1
46,114,218.000000,0,1,0,0,1,1,1
47,115,932.000000,1,1,0,0,1,1,1
48,116,62.000000,0,0,1,0,1,1,1
49,117,27.000000,1,0,1,0,1,1,1
50,118,2409.000000,0,1,1,0,1,1,1
51,119,7166.000000,1,1,1,0,1,1,1
52,122,19.000000,0,1,0,1,1,1,1
53,123,1769.000000,1,1,0,1,1,1,1
54,126,3306.000000,0,1,1,1,1,1,1
55,127,2225655.000000,1,1,1,1,1,1,1
