"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,468.000000,0,0,0,0,0,0,0
2,1,320.000000,1,0,0,0,0,0,0
3,2,261.000000,0,1,0,0,0,0,0
4,3,347.000000,1,1,0,0,0,0,0
5,6,6.000000,0,1,1,0,0,0,0
6,7,3.000000,1,1,1,0,0,0,0
7,8,123.000000,0,0,0,1,0,0,0
8,9,182.000000,1,0,0,1,0,0,0
9,10,57.000000,0,1,0,1,0,0,0
10,11,199.000000,1,1,0,1,0,0,0
11,16,243.000000,0,0,0,0,1,0,0
12,17,75.000000,1,0,0,0,1,0,0
13,18,330.000000,0,1,0,0,1,0,0
14,19,419.000000,1,1,0,0,1,0,0
15,20,64.000000,0,0,1,0,1,0,0
16,21,2.000000,1,0,1,0,1,0,0
17,22,157.000000,0,1,1,0,1,0,0
18,23,132.000000,1,1,1,0,1,0,0
19,24,127.000000,0,0,0,1,1,0,0
20,25,104.000000,1,0,0,1,1,0,0
21,26,178.000000,0,1,0,1,1,0,0
22,27,813.000000,1,1,0,1,1,0,0
23,28,42.000000,0,0,1,1,1,0,0
24,29,2.000000,1,0,1,1,1,0,0
25,30,146.000000,0,1,1,1,1,0,0
26,31,760.000000,1,1,1,1,1,0,0
27,34,43.000000,0,1,0,0,0,1,0
28,35,867.000000,1,1,0,0,0,1,0
29,38,9.000000,0,1,1,0,0,1,0
30,39,58.000000,1,1,1,0,0,1,0
31,43,129.000000,1,1,0,1,0,1,0
32,47,11.000000,1,1,1,1,0,1,0
33,48,1.000000,0,0,0,0,1,1,0
34,50,124.000000,0,1,0,0,1,1,0
35,51,1751.000000,1,1,0,0,1,1,0
36,52,1.000000,0,0,1,0,1,1,0
37,54,719.000000,0,1,1,0,1,1,0
38,55,5752.000000,1,1,1,0,1,1,0
39,57,1.000000,1,0,0,1,1,1,0
40,58,20.000000,0,1,0,1,1,1,0
41,59,2126.000000,1,1,0,1,1,1,0
42,62,476.000000,0,1,1,1,1,1,0
43,63,21025.000000,1,1,1,1,1,1,0
44,64,3.000000,0,0,0,0,0,0,1
45,65,3.000000,1,0,0,0,0,0,1
46,67,1.000000,1,1,0,0,0,0,1
47,72,258.000000,0,0,0,1,0,0,1
48,73,248.000000,1,0,0,1,0,0,1
49,74,18.000000,0,1,0,1,0,0,1
50,75,203.000000,1,1,0,1,0,0,1
51,79,1.000000,1,1,1,1,0,0,1
52,80,3.000000,0,0,0,0,1,0,1
53,81,4.000000,1,0,0,0,1,0,1
54,82,4.000000,0,1,0,0,1,0,1
55,83,10.000000,1,1,0,0,1,0,1
56,84,1.000000,0,0,1,0,1,0,1
57,86,13.000000,0,1,1,0,1,0,1
58,87,20.000000,1,1,1,0,1,0,1
59,88,549.000000,0,0,0,1,1,0,1
60,89,493.000000,1,0,0,1,1,0,1
61,90,506.000000,0,1,0,1,1,0,1
62,91,3856.000000,1,1,0,1,1,0,1
63,92,704.000000,0,0,1,1,1,0,1
64,93,116.000000,1,0,1,1,1,0,1
65,94,3064.000000,0,1,1,1,1,0,1
66,95,11384.000000,1,1,1,1,1,0,1
67,99,2.000000,1,1,0,0,0,1,1
68,106,1.000000,0,1,0,1,0,1,1
69,107,73.000000,1,1,0,1,0,1,1
70,115,18.000000,1,1,0,0,1,1,1
71,118,135.000000,0,1,1,0,1,1,1
72,119,605.000000,1,1,1,0,1,1,1
73,121,1.000000,1,0,0,1,1,1,1
74,122,48.000000,0,1,0,1,1,1,1
75,123,3885.000000,1,1,0,1,1,1,1
76,124,4.000000,0,0,1,1,1,1,1
77,126,8212.000000,0,1,1,1,1,1,1
78,127,2214139.000000,1,1,1,1,1,1,1
