"OBJECTID","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6","OBS7"
1,0,101.000000,0,0,0,0,0,0,0
2,1,35.000000,1,0,0,0,0,0,0
3,2,149.000000,0,1,0,0,0,0,0
4,3,17.000000,1,1,0,0,0,0,0
5,4,5.000000,0,0,1,0,0,0,0
6,6,79.000000,0,1,1,0,0,0,0
7,7,2.000000,1,1,1,0,0,0,0
8,8,2.000000,0,0,0,1,0,0,0
9,9,1.000000,1,0,0,1,0,0,0
10,11,1.000000,1,1,0,1,0,0,0
11,16,25.000000,0,0,0,0,1,0,0
12,17,21.000000,1,0,0,0,1,0,0
13,18,85.000000,0,1,0,0,1,0,0
14,19,64.000000,1,1,0,0,1,0,0
15,22,142.000000,0,1,1,0,1,0,0
16,23,155.000000,1,1,1,0,1,0,0
17,25,5.000000,1,0,0,1,1,0,0
18,26,2.000000,0,1,0,1,1,0,0
19,27,28.000000,1,1,0,1,1,0,0
20,30,2.000000,0,1,1,1,1,0,0
21,31,10.000000,1,1,1,1,1,0,0
22,32,343.000000,0,0,0,0,0,1,0
23,33,343.000000,1,0,0,0,0,1,0
24,34,347.000000,0,1,0,0,0,1,0
25,35,128.000000,1,1,0,0,0,1,0
26,36,41.000000,0,0,1,0,0,1,0
27,37,2.000000,1,0,1,0,0,1,0
28,38,385.000000,0,1,1,0,0,1,0
29,39,122.000000,1,1,1,0,0,1,0
30,40,4.000000,0,0,0,1,0,1,0
31,41,147.000000,1,0,0,1,0,1,0
32,42,1.000000,0,1,0,1,0,1,0
33,43,83.000000,1,1,0,1,0,1,0
34,45,3.000000,1,0,1,1,0,1,0
35,47,46.000000,1,1,1,1,0,1,0
36,48,24.000000,0,0,0,0,1,1,0
37,49,99.000000,1,0,0,0,1,1,0
38,50,108.000000,0,1,0,0,1,1,0
39,51,1082.000000,1,1,0,0,1,1,0
40,54,932.000000,0,1,1,0,1,1,0
41,55,7801.000000,1,1,1,0,1,1,0
42,57,282.000000,1,0,0,1,1,1,0
43,59,2677.000000,1,1,0,1,1,1,0
44,61,1.000000,1,0,1,1,1,1,0
45,62,2.000000,0,1,1,1,1,1,0
46,63,11477.000000,1,1,1,1,1,1,0
47,64,2.000000,0,0,0,0,0,0,1
48,70,1.000000,0,1,1,0,0,0,1
49,86,1.000000,0,1,1,0,1,0,1
50,96,276.000000,0,0,0,0,0,1,1
51,97,174.000000,1,0,0,0,0,1,1
52,98,174.000000,0,1,0,0,0,1,1
53,99,225.000000,1,1,0,0,0,1,1
54,100,165.000000,0,0,1,0,0,1,1
55,101,66.000000,1,0,1,0,0,1,1
56,102,1314.000000,0,1,1,0,0,1,1
57,103,1352.000000,1,1,1,0,0,1,1
58,104,44.000000,0,0,0,1,0,1,1
59,105,1101.000000,1,0,0,1,0,1,1
60,106,12.000000,0,1,0,1,0,1,1
61,107,965.000000,1,1,0,1,0,1,1
62,108,2.000000,0,0,1,1,0,1,1
63,109,53.000000,1,0,1,1,0,1,1
64,110,35.000000,0,1,1,1,0,1,1
65,111,1088.000000,1,1,1,1,0,1,1
66,112,5.000000,0,0,0,0,1,1,1
67,113,50.000000,1,0,0,0,1,1,1
68,114,58.000000,0,1,0,0,1,1,1
69,115,1312.000000,1,1,0,0,1,1,1
70,116,7.000000,0,0,1,0,1,1,1
71,117,8.000000,1,0,1,0,1,1,1
72,118,1070.000000,0,1,1,0,1,1,1
73,119,68746.000000,1,1,1,0,1,1,1
74,120,3.000000,0,0,0,1,1,1,1
75,121,734.000000,1,0,0,1,1,1,1
76,122,6.000000,0,1,0,1,1,1,1
77,123,15105.000000,1,1,0,1,1,1,1
78,125,28.000000,1,0,1,1,1,1,1
79,126,10.000000,0,1,1,1,1,1,1
80,127,2165655.000000,1,1,1,1,1,1,1
