"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6"
,0,689.000000,0,0,0,0,0,0
,1,398.000000,1,0,0,0,0,0
,2,249.000000,0,1,0,0,0,0
,3,118.000000,1,1,0,0,0,0
,4,3.000000,0,0,1,0,0,0
,5,79.000000,1,0,1,0,0,0
,7,35.000000,1,1,1,0,0,0
,8,492.000000,0,0,0,1,0,0
,9,392.000000,1,0,0,1,0,0
,10,3416.000000,0,1,0,1,0,0
,11,7497.000000,1,1,0,1,0,0
,12,4.000000,0,0,1,1,0,0
,13,157.000000,1,0,1,1,0,0
,14,12.000000,0,1,1,1,0,0
,15,2018.000000,1,1,1,1,0,0
,16,5.000000,0,0,0,0,1,0
,17,158.000000,1,0,0,0,1,0
,18,11.000000,0,1,0,0,1,0
,19,96.000000,1,1,0,0,1,0
,20,4.000000,0,0,1,0,1,0
,21,1109.000000,1,0,1,0,1,0
,23,548.000000,1,1,1,0,1,0
,24,11.000000,0,0,0,1,1,0
,25,96.000000,1,0,0,1,1,0
,26,55.000000,0,1,0,1,1,0
,27,8026.000000,1,1,0,1,1,0
,28,1.000000,0,0,1,1,1,0
,29,592.000000,1,0,1,1,1,0
,30,3.000000,0,1,1,1,1,0
,31,113360.000000,1,1,1,1,1,0
,32,7.000000,0,0,0,0,0,1
,33,11.000000,1,0,0,0,0,1
,34,21.000000,0,1,0,0,0,1
,35,9.000000,1,1,0,0,0,1
,39,1.000000,1,1,1,0,0,1
,40,1.000000,0,0,0,1,0,1
,41,2.000000,1,0,0,1,0,1
,42,1188.000000,0,1,0,1,0,1
,43,2678.000000,1,1,0,1,0,1
,45,1.000000,1,0,1,1,0,1
,46,10.000000,0,1,1,1,0,1
,47,1054.000000,1,1,1,1,0,1
,48,1.000000,0,0,0,0,1,1
,49,13.000000,1,0,0,0,1,1
,50,9.000000,0,1,0,0,1,1
,51,57.000000,1,1,0,0,1,1
,53,617.000000,1,0,1,0,1,1
,54,2.000000,0,1,1,0,1,1
,55,1548.000000,1,1,1,0,1,1
,57,2.000000,1,0,0,1,1,1
,58,189.000000,0,1,0,1,1,1
,59,15624.000000,1,1,0,1,1,1
,61,211.000000,1,0,1,1,1,1
,62,14.000000,0,1,1,1,1,1
,63,2124354.000000,1,1,1,1,1,1
