"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6"
,0,294.000000,0,0,0,0,0,0
,1,21.000000,1,0,0,0,0,0
,2,8.000000,0,1,0,0,0,0
,4,986.000000,0,0,1,0,0,0
,5,328.000000,1,0,1,0,0,0
,6,3.000000,0,1,1,0,0,0
,8,252.000000,0,0,0,1,0,0
,10,15.000000,0,1,0,1,0,0
,12,1494.000000,0,0,1,1,0,0
,13,1423.000000,1,0,1,1,0,0
,14,223.000000,0,1,1,1,0,0
,15,234.000000,1,1,1,1,0,0
,16,79.000000,0,0,0,0,1,0
,18,16.000000,0,1,0,0,1,0
,19,1.000000,1,1,0,0,1,0
,20,81.000000,0,0,1,0,1,0
,21,22.000000,1,0,1,0,1,0
,22,16.000000,0,1,1,0,1,0
,23,4.000000,1,1,1,0,1,0
,24,133.000000,0,0,0,1,1,0
,26,731.000000,0,1,0,1,1,0
,27,4.000000,1,1,0,1,1,0
,28,1411.000000,0,0,1,1,1,0
,29,1484.000000,1,0,1,1,1,0
,30,17100.000000,0,1,1,1,1,0
,31,17854.000000,1,1,1,1,1,0
,32,14.000000,0,0,0,0,0,1
,33,14.000000,1,0,0,0,0,1
,36,42.000000,0,0,1,0,0,1
,37,2227.000000,1,0,1,0,0,1
,39,1.000000,1,1,1,0,0,1
,40,4.000000,0,0,0,1,0,1
,41,4.000000,1,0,0,1,0,1
,44,137.000000,0,0,1,1,0,1
,45,8655.000000,1,0,1,1,0,1
,46,19.000000,0,1,1,1,0,1
,47,1414.000000,1,1,1,1,0,1
,48,15.000000,0,0,0,0,1,1
,49,33.000000,1,0,0,0,1,1
,50,11.000000,0,1,0,0,1,1
,51,14.000000,1,1,0,0,1,1
,52,45.000000,0,0,1,0,1,1
,53,698.000000,1,0,1,0,1,1
,54,20.000000,0,1,1,0,1,1
,55,171.000000,1,1,1,0,1,1
,56,29.000000,0,0,0,1,1,1
,57,19.000000,1,0,0,1,1,1
,58,129.000000,0,1,0,1,1,1
,59,69.000000,1,1,0,1,1,1
,60,559.000000,0,0,1,1,1,1
,61,68105.000000,1,0,1,1,1,1
,62,6664.000000,0,1,1,1,1,1
,63,2153929.000000,1,1,1,1,1,1
