"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,324.000000,0,0,0,0
,1,113.000000,1,0,0,0
,2,97.000000,0,1,0,0
,3,119.000000,1,1,0,0
,4,955.000000,0,0,1,0
,5,1049.000000,1,0,1,0
,6,699.000000,0,1,1,0
,7,2737.000000,1,1,1,0
,12,5187.000000,0,0,1,1
,13,7423.000000,1,0,1,1
,14,174670.000000,0,1,1,1
,15,2093885.000000,1,1,1,1
