"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,571.000000,0,0,0,0
,1,1836.000000,1,0,0,0
,2,25.000000,0,1,0,0
,3,377.000000,1,1,0,0
,4,611.000000,0,0,1,0
,5,2230.000000,1,0,1,0
,6,607.000000,0,1,1,0
,7,8576.000000,1,1,1,0
,8,168.000000,0,0,0,1
,9,1050.000000,1,0,0,1
,11,34.000000,1,1,0,1
,12,1867.000000,0,0,1,1
,13,44113.000000,1,0,1,1
,14,3117.000000,0,1,1,1
,15,2222076.000000,1,1,1,1
