"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6"
,0,284.000000,0,0,0,0,0,0
,1,25.000000,1,0,0,0,0,0
,2,1322.000000,0,1,0,0,0,0
,3,374.000000,1,1,0,0,0,0
,4,1.000000,0,0,1,0,0,0
,5,7.000000,1,0,1,0,0,0
,6,87.000000,0,1,1,0,0,0
,7,275.000000,1,1,1,0,0,0
,8,16.000000,0,0,0,1,0,0
,10,956.000000,0,1,0,1,0,0
,11,731.000000,1,1,0,1,0,0
,14,61.000000,0,1,1,1,0,0
,15,875.000000,1,1,1,1,0,0
,16,14.000000,0,0,0,0,1,0
,18,841.000000,0,1,0,0,1,0
,19,198.000000,1,1,0,0,1,0
,20,4.000000,0,0,1,0,1,0
,21,5.000000,1,0,1,0,1,0
,22,335.000000,0,1,1,0,1,0
,23,792.000000,1,1,1,0,1,0
,24,14.000000,0,0,0,1,1,0
,26,7503.000000,0,1,0,1,1,0
,27,8110.000000,1,1,0,1,1,0
,28,3.000000,0,0,1,1,1,0
,29,1.000000,1,0,1,1,1,0
,30,1021.000000,0,1,1,1,1,0
,31,14298.000000,1,1,1,1,1,0
,33,2.000000,1,0,0,0,0,1
,34,43.000000,0,1,0,0,0,1
,35,357.000000,1,1,0,0,0,1
,36,1.000000,0,0,1,0,0,1
,37,20.000000,1,0,1,0,0,1
,38,10.000000,0,1,1,0,0,1
,39,6373.000000,1,1,1,0,0,1
,42,203.000000,0,1,0,1,0,1
,43,1549.000000,1,1,0,1,0,1
,46,13.000000,0,1,1,1,0,1
,47,26635.000000,1,1,1,1,0,1
,50,8.000000,0,1,0,0,1,1
,51,129.000000,1,1,0,0,1,1
,52,1.000000,0,0,1,0,1,1
,53,12.000000,1,0,1,0,1,1
,54,45.000000,0,1,1,0,1,1
,55,5328.000000,1,1,1,0,1,1
,58,619.000000,0,1,0,1,1,1
,59,13921.000000,1,1,0,1,1,1
,61,1.000000,1,0,1,1,1,1
,62,367.000000,0,1,1,1,1,1
,63,2193468.000000,1,1,1,1,1,1
