"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,647.000000,0,0,0,0,0
,1,25.000000,1,0,0,0,0
,2,1264.000000,0,1,0,0,0
,3,3202.000000,1,1,0,0,0
,4,221.000000,0,0,1,0,0
,5,54.000000,1,0,1,0,0
,6,876.000000,0,1,1,0,0
,7,7538.000000,1,1,1,0,0
,8,30.000000,0,0,0,1,0
,9,1.000000,1,0,0,1,0
,10,236.000000,0,1,0,1,0
,11,2914.000000,1,1,0,1,0
,12,6.000000,0,0,1,1,0
,14,151.000000,0,1,1,1,0
,15,2976.000000,1,1,1,1,0
,16,146.000000,0,0,0,0,1
,17,1.000000,1,0,0,0,1
,18,381.000000,0,1,0,0,1
,19,1240.000000,1,1,0,0,1
,20,248.000000,0,0,1,0,1
,21,19.000000,1,0,1,0,1
,22,2316.000000,0,1,1,0,1
,23,15251.000000,1,1,1,0,1
,24,283.000000,0,0,0,1,1
,25,6.000000,1,0,0,1,1
,26,5397.000000,0,1,0,1,1
,27,43120.000000,1,1,0,1,1
,28,522.000000,0,0,1,1,1
,29,11.000000,1,0,1,1,1
,30,17856.000000,0,1,1,1,1
,31,2180320.000000,1,1,1,1,1
