"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,200.000000,0,0,0,0,0
,1,48.000000,1,0,0,0,0
,2,24.000000,0,1,0,0,0
,3,13.000000,1,1,0,0,0
,4,3.000000,0,0,1,0,0
,6,6.000000,0,1,1,0,0
,8,1667.000000,0,0,0,1,0
,9,456.000000,1,0,0,1,0
,10,685.000000,0,1,0,1,0
,11,669.000000,1,1,0,1,0
,12,800.000000,0,0,1,1,0
,13,346.000000,1,0,1,1,0
,14,10038.000000,0,1,1,1,0
,15,8195.000000,1,1,1,1,0
,16,15.000000,0,0,0,0,1
,17,62.000000,1,0,0,0,1
,19,25.000000,1,1,0,0,1
,23,1.000000,1,1,1,0,1
,24,329.000000,0,0,0,1,1
,25,10003.000000,1,0,0,1,1
,26,69.000000,0,1,0,1,1
,27,6207.000000,1,1,0,1,1
,28,926.000000,0,0,1,1,1
,29,24532.000000,1,0,1,1,1
,30,5931.000000,0,1,1,1,1
,31,2216008.000000,1,1,1,1,1
