"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,331.000000,0,0,0,0,0
,1,180.000000,1,0,0,0,0
,2,15.000000,0,1,0,0,0
,3,236.000000,1,1,0,0,0
,4,45.000000,0,0,1,0,0
,5,12.000000,1,0,1,0,0
,6,44.000000,0,1,1,0,0
,7,127.000000,1,1,1,0,0
,8,586.000000,0,0,0,1,0
,9,574.000000,1,0,0,1,0
,10,25.000000,0,1,0,1,0
,11,987.000000,1,1,0,1,0
,12,448.000000,0,0,1,1,0
,13,390.000000,1,0,1,1,0
,14,527.000000,0,1,1,1,0
,15,3069.000000,1,1,1,1,0
,16,4.000000,0,0,0,0,1
,17,9.000000,1,0,0,0,1
,19,26.000000,1,1,0,0,1
,24,1668.000000,0,0,0,1,1
,25,6033.000000,1,0,0,1,1
,26,33.000000,0,1,0,1,1
,27,10412.000000,1,1,0,1,1
,28,4930.000000,0,0,1,1,1
,29,151487.000000,1,0,1,1,1
,30,946.000000,0,1,1,1,1
,31,2104114.000000,1,1,1,1,1
