"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,469.000000,0,0,0,0
,1,1313.000000,1,0,0,0
,2,43.000000,0,1,0,0
,3,329.000000,1,1,0,0
,4,630.000000,0,0,1,0
,5,1915.000000,1,0,1,0
,6,740.000000,0,1,1,0
,7,6815.000000,1,1,1,0
,8,93.000000,0,0,0,1
,9,471.000000,1,0,0,1
,11,17.000000,1,1,0,1
,12,1751.000000,0,0,1,1
,13,32237.000000,1,0,1,1
,14,3491.000000,0,1,1,1
,15,2236944.000000,1,1,1,1
