"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,75.000000,0,0,0,0
,1,1.000000,1,0,0,0
,2,726.000000,0,1,0,0
,3,27.000000,1,1,0,0
,4,133.000000,0,0,1,0
,5,70.000000,1,0,1,0
,6,723.000000,0,1,1,0
,7,5110.000000,1,1,1,0
,8,6.000000,0,0,0,1
,10,2813.000000,0,1,0,1
,11,59.000000,1,1,0,1
,12,2.000000,0,0,1,1
,13,5.000000,1,0,1,1
,14,17846.000000,0,1,1,1
,15,2259662.000000,1,1,1,1
