"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,72.000000,0,0,0,0
,1,14.000000,1,0,0,0
,2,3.000000,0,1,0,0
,3,1.000000,1,1,0,0
,4,2229.000000,0,0,1,0
,5,1312.000000,1,0,1,0
,6,9469.000000,0,1,1,0
,7,7760.000000,1,1,1,0
,8,5.000000,0,0,0,1
,9,1.000000,1,0,0,1
,12,291.000000,0,0,1,1
,13,13569.000000,1,0,1,1
,14,4439.000000,0,1,1,1
,15,2248093.000000,1,1,1,1
