"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,311.000000,0,0,0,0,0
,1,455.000000,1,0,0,0,0
,4,424.000000,0,0,1,0,0
,5,1268.000000,1,0,1,0,0
,6,31.000000,0,1,1,0,0
,7,765.000000,1,1,1,0,0
,8,79.000000,0,0,0,1,0
,9,9.000000,1,0,0,1,0
,10,4.000000,0,1,0,1,0
,12,350.000000,0,0,1,1,0
,13,959.000000,1,0,1,1,0
,14,1179.000000,0,1,1,1,0
,15,18865.000000,1,1,1,1,0
,16,217.000000,0,0,0,0,1
,17,662.000000,1,0,0,0,1
,20,117.000000,0,0,1,0,1
,21,5975.000000,1,0,1,0,1
,23,1954.000000,1,1,1,0,1
,24,93.000000,0,0,0,1,1
,25,121.000000,1,0,0,1,1
,28,420.000000,0,0,1,1,1
,29,17708.000000,1,0,1,1,1
,30,638.000000,0,1,1,1,1
,31,2234654.000000,1,1,1,1,1
