"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,748.000000,0,0,0,0
,1,2423.000000,1,0,0,0
,2,22.000000,0,1,0,0
,3,390.000000,1,1,0,0
,4,543.000000,0,0,1,0
,5,2769.000000,1,0,1,0
,6,497.000000,0,1,1,0
,7,10144.000000,1,1,1,0
,8,316.000000,0,0,0,1
,9,1894.000000,1,0,0,1
,11,53.000000,1,1,0,1
,12,2069.000000,0,0,1,1
,13,60994.000000,1,0,1,1
,14,3053.000000,0,1,1,1
,15,2201343.000000,1,1,1,1
