"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,131.000000,0,0,0,0
,1,38.000000,1,0,0,0
,2,214.000000,0,1,0,0
,3,152.000000,1,1,0,0
,4,581.000000,0,0,1,0
,5,1099.000000,1,0,1,0
,6,263.000000,0,1,1,0
,7,2150.000000,1,1,1,0
,8,113.000000,0,0,0,1
,10,712.000000,0,1,0,1
,11,169.000000,1,1,0,1
,12,1051.000000,0,0,1,1
,13,1839.000000,1,0,1,1
,14,21399.000000,0,1,1,1
,15,2257347.000000,1,1,1,1
