"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,239.000000,0,0,0,0
,1,53.000000,1,0,0,0
,2,171.000000,0,1,0,0
,3,126.000000,1,1,0,0
,4,798.000000,0,0,1,0
,5,1049.000000,1,0,1,0
,6,545.000000,0,1,1,0
,7,2076.000000,1,1,1,0
,8,23.000000,0,0,0,1
,9,1.000000,1,0,0,1
,10,49.000000,0,1,0,1
,11,20.000000,1,1,0,1
,12,3424.000000,0,0,1,1
,13,4944.000000,1,0,1,1
,14,241649.000000,0,1,1,1
,15,2032091.000000,1,1,1,1
