"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,677.000000,0,0,0,0,0
,1,82.000000,1,0,0,0,0
,2,85.000000,0,1,0,0,0
,3,60.000000,1,1,0,0,0
,4,1.000000,0,0,1,0,0
,6,11.000000,0,1,1,0,0
,7,1.000000,1,1,1,0,0
,8,1612.000000,0,0,0,1,0
,9,728.000000,1,0,0,1,0
,10,1004.000000,0,1,0,1,0
,11,1020.000000,1,1,0,1,0
,12,777.000000,0,0,1,1,0
,13,799.000000,1,0,1,1,0
,14,16500.000000,0,1,1,1,0
,15,79214.000000,1,1,1,1,0
,16,57.000000,0,0,0,0,1
,17,745.000000,1,0,0,0,1
,19,177.000000,1,1,0,0,1
,23,2.000000,1,1,1,0,1
,24,504.000000,0,0,0,1,1
,25,10686.000000,1,0,0,1,1
,26,233.000000,0,1,0,1,1
,27,11711.000000,1,1,0,1,1
,28,1232.000000,0,0,1,1,1
,29,12148.000000,1,0,1,1,1
,30,13420.000000,0,1,1,1,1
,31,2133772.000000,1,1,1,1,1
