"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,233.000000,0,0,0,0,0
,1,5.000000,1,0,0,0,0
,2,1579.000000,0,1,0,0,0
,3,1096.000000,1,1,0,0,0
,4,18.000000,0,0,1,0,0
,6,952.000000,0,1,1,0,0
,7,2802.000000,1,1,1,0,0
,8,55.000000,0,0,0,1,0
,9,3.000000,1,0,0,1,0
,10,1852.000000,0,1,0,1,0
,11,2138.000000,1,1,0,1,0
,12,48.000000,0,0,1,1,0
,13,1.000000,1,0,1,1,0
,14,10186.000000,0,1,1,1,0
,15,134406.000000,1,1,1,1,0
,18,51.000000,0,1,0,0,1
,19,6772.000000,1,1,0,0,1
,22,206.000000,0,1,1,0,1
,23,20264.000000,1,1,1,0,1
,24,1.000000,0,0,0,1,1
,26,95.000000,0,1,0,1,1
,27,9472.000000,1,1,0,1,1
,30,1215.000000,0,1,1,1,1
,31,2093808.000000,1,1,1,1,1
