"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,1087.000000,0,0,0,0,0
,1,157.000000,1,0,0,0,0
,2,417.000000,0,1,0,0,0
,3,238.000000,1,1,0,0,0
,4,2158.000000,0,0,1,0,0
,5,4637.000000,1,0,1,0,0
,6,779.000000,0,1,1,0,0
,7,2086.000000,1,1,1,0,0
,8,31.000000,0,0,0,1,0
,9,2.000000,1,0,0,1,0
,12,442.000000,0,0,1,1,0
,13,1270.000000,1,0,1,1,0
,14,201.000000,0,1,1,1,0
,15,667.000000,1,1,1,1,0
,16,197.000000,0,0,0,0,1
,17,10.000000,1,0,0,0,1
,18,482.000000,0,1,0,0,1
,19,167.000000,1,1,0,0,1
,20,643.000000,0,0,1,0,1
,21,1622.000000,1,0,1,0,1
,22,2709.000000,0,1,1,0,1
,23,7120.000000,1,1,1,0,1
,24,267.000000,0,0,0,1,1
,25,12.000000,1,0,0,1,1
,26,2274.000000,0,1,0,1,1
,27,130.000000,1,1,0,1,1
,28,5955.000000,0,0,1,1,1
,29,17609.000000,1,0,1,1,1
,30,442421.000000,0,1,1,1,1
,31,1791468.000000,1,1,1,1,1
