"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,391.000000,0,0,0,0,0
,1,378.000000,1,0,0,0,0
,2,11.000000,0,1,0,0,0
,3,438.000000,1,1,0,0,0
,4,33.000000,0,0,1,0,0
,5,39.000000,1,0,1,0,0
,6,34.000000,0,1,1,0,0
,7,228.000000,1,1,1,0,0
,8,595.000000,0,0,0,1,0
,9,687.000000,1,0,0,1,0
,10,14.000000,0,1,0,1,0
,11,1025.000000,1,1,0,1,0
,12,492.000000,0,0,1,1,0
,13,612.000000,1,0,1,1,0
,14,397.000000,0,1,1,1,0
,15,4297.000000,1,1,1,1,0
,16,38.000000,0,0,0,0,1
,17,74.000000,1,0,0,0,1
,18,1.000000,0,1,0,0,1
,19,84.000000,1,1,0,0,1
,23,7.000000,1,1,1,0,1
,24,1686.000000,0,0,0,1,1
,25,9206.000000,1,0,0,1,1
,26,30.000000,0,1,0,1,1
,27,14283.000000,1,1,0,1,1
,28,3980.000000,0,0,1,1,1
,29,156818.000000,1,0,1,1,1
,30,412.000000,0,1,1,1,1
,31,2090968.000000,1,1,1,1,1
