"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,1265.000000,0,0,0,0
,1,290.000000,1,0,0,0
,2,75.000000,0,1,0,0
,3,53.000000,1,1,0,0
,4,2375.000000,0,0,1,0
,5,1345.000000,1,0,1,0
,6,29207.000000,0,1,1,0
,7,88961.000000,1,1,1,0
,8,125.000000,0,0,0,1
,9,2276.000000,1,0,0,1
,10,1.000000,0,1,0,1
,11,176.000000,1,1,0,1
,12,1466.000000,0,0,1,1
,13,15074.000000,1,0,1,1
,14,24069.000000,0,1,1,1
,15,2120500.000000,1,1,1,1
