"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,702.000000,0,0,0,0
,1,1815.000000,1,0,0,0
,2,97.000000,0,1,0,0
,3,739.000000,1,1,0,0
,4,97.000000,0,0,1,0
,5,15837.000000,1,0,1,0
,6,17.000000,0,1,1,0
,7,12364.000000,1,1,1,0
,8,21.000000,0,0,0,1
,9,338.000000,1,0,0,1
,10,409.000000,0,1,0,1
,11,7959.000000,1,1,0,1
,12,2.000000,0,0,1,1
,13,13767.000000,1,0,1,1
,14,10.000000,0,1,1,1
,15,2233084.000000,1,1,1,1
