"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,944.000000,0,0,0,0,0
,1,176.000000,1,0,0,0,0
,2,95.000000,0,1,0,0,0
,3,38.000000,1,1,0,0,0
,6,11.000000,0,1,1,0,0
,7,2.000000,1,1,1,0,0
,8,1636.000000,0,0,0,1,0
,9,787.000000,1,0,0,1,0
,10,1168.000000,0,1,0,1,0
,11,1237.000000,1,1,0,1,0
,12,789.000000,0,0,1,1,0
,13,670.000000,1,0,1,1,0
,14,21363.000000,0,1,1,1,0
,15,76115.000000,1,1,1,1,0
,16,83.000000,0,0,0,0,1
,17,1451.000000,1,0,0,0,1
,18,4.000000,0,1,0,0,1
,19,196.000000,1,1,0,0,1
,23,2.000000,1,1,1,0,1
,24,588.000000,0,0,0,1,1
,25,10587.000000,1,0,0,1,1
,26,421.000000,0,1,0,1,1
,27,15751.000000,1,1,0,1,1
,28,1100.000000,0,0,1,1,1
,29,8252.000000,1,0,1,1,1
,30,18256.000000,0,1,1,1,1
,31,2125536.000000,1,1,1,1,1
