"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,1649.000000,0,0,0,0
,1,421.000000,1,0,0,0
,2,75.000000,0,1,0,0
,3,33.000000,1,1,0,0
,4,2359.000000,0,0,1,0
,5,1222.000000,1,0,1,0
,6,37874.000000,0,1,1,0
,7,100425.000000,1,1,1,0
,8,288.000000,0,0,0,1
,9,3310.000000,1,0,0,1
,10,6.000000,0,1,0,1
,11,156.000000,1,1,0,1
,12,1429.000000,0,0,1,1
,13,11962.000000,1,0,1,1
,14,38554.000000,0,1,1,1
,15,2087495.000000,1,1,1,1
