"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6"
,0,347.000000,0,0,0,0,0,0
,1,8.000000,1,0,0,0,0,0
,2,4.000000,0,1,0,0,0,0
,4,1399.000000,0,0,1,0,0,0
,5,535.000000,1,0,1,0,0,0
,6,10.000000,0,1,1,0,0,0
,7,2.000000,1,1,1,0,0,0
,8,184.000000,0,0,0,1,0,0
,9,1.000000,1,0,0,1,0,0
,10,60.000000,0,1,0,1,0,0
,12,1604.000000,0,0,1,1,0,0
,13,1608.000000,1,0,1,1,0,0
,14,934.000000,0,1,1,1,0,0
,15,1008.000000,1,1,1,1,0,0
,16,69.000000,0,0,0,0,1,0
,17,1.000000,1,0,0,0,1,0
,18,12.000000,0,1,0,0,1,0
,20,134.000000,0,0,1,0,1,0
,21,32.000000,1,0,1,0,1,0
,22,27.000000,0,1,1,0,1,0
,23,6.000000,1,1,1,0,1,0
,24,54.000000,0,0,0,1,1,0
,26,722.000000,0,1,0,1,1,0
,28,1057.000000,0,0,1,1,1,0
,29,1139.000000,1,0,1,1,1,0
,30,22134.000000,0,1,1,1,1,0
,31,26262.000000,1,1,1,1,1,0
,32,6.000000,0,0,0,0,0,1
,33,10.000000,1,0,0,0,0,1
,36,58.000000,0,0,1,0,0,1
,37,3201.000000,1,0,1,0,0,1
,39,10.000000,1,1,1,0,0,1
,40,3.000000,0,0,0,1,0,1
,44,128.000000,0,0,1,1,0,1
,45,8098.000000,1,0,1,1,0,1
,46,84.000000,0,1,1,1,0,1
,47,3472.000000,1,1,1,1,0,1
,48,8.000000,0,0,0,0,1,1
,49,23.000000,1,0,0,0,1,1
,50,7.000000,0,1,0,0,1,1
,51,6.000000,1,1,0,0,1,1
,52,49.000000,0,0,1,0,1,1
,53,1183.000000,1,0,1,0,1,1
,54,20.000000,0,1,1,0,1,1
,55,223.000000,1,1,1,0,1,1
,56,9.000000,0,0,0,1,1,1
,57,9.000000,1,0,0,1,1,1
,58,74.000000,0,1,0,1,1,1
,59,40.000000,1,1,0,1,1,1
,60,430.000000,0,0,1,1,1,1
,61,21431.000000,1,0,1,1,1,1
,62,8814.000000,0,1,1,1,1,1
,63,2180509.000000,1,1,1,1,1,1
