"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,492.000000,0,0,0,0,0
,1,4.000000,1,0,0,0,0
,4,1867.000000,0,0,1,0,0
,5,5031.000000,1,0,1,0,0
,6,40.000000,0,1,1,0,0
,7,101.000000,1,1,1,0,0
,8,150.000000,0,0,0,1,0
,10,159.000000,0,1,0,1,0
,12,1749.000000,0,0,1,1,0
,13,8970.000000,1,0,1,1,0
,14,2737.000000,0,1,1,1,0
,15,9205.000000,1,1,1,1,0
,16,69.000000,0,0,0,0,1
,17,7.000000,1,0,0,0,1
,18,8.000000,0,1,0,0,1
,20,308.000000,0,0,1,0,1
,21,1835.000000,1,0,1,0,1
,22,57.000000,0,1,1,0,1
,23,238.000000,1,1,1,0,1
,24,54.000000,0,0,0,1,1
,25,2.000000,1,0,0,1,1
,26,800.000000,0,1,0,1,1
,27,15.000000,1,1,0,1,1
,28,1354.000000,0,0,1,1,1
,29,18962.000000,1,0,1,1,1
,30,38789.000000,0,1,1,1,1
,31,2194255.000000,1,1,1,1,1
