"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,335.000000,0,0,0,0
,1,3.000000,1,0,0,0
,2,1658.000000,0,1,0,0
,3,7755.000000,1,1,0,0
,4,35.000000,0,0,1,0
,6,1114.000000,0,1,1,0
,7,17551.000000,1,1,1,0
,8,117.000000,0,0,0,1
,9,3.000000,1,0,0,1
,10,2889.000000,0,1,0,1
,11,19398.000000,1,1,0,1
,12,134.000000,0,0,1,1
,14,13611.000000,0,1,1,1
,15,2222655.000000,1,1,1,1
