"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,1404.000000,0,0,0,0
,1,874.000000,1,0,0,0
,2,5881.000000,0,1,0,0
,3,2350.000000,1,1,0,0
,4,15.000000,0,0,1,0
,5,7.000000,1,0,1,0
,6,749.000000,0,1,1,0
,7,515.000000,1,1,1,0
,8,243.000000,0,0,0,1
,9,696.000000,1,0,0,1
,10,2628.000000,0,1,0,1
,11,8003.000000,1,1,0,1
,12,351.000000,0,0,1,1
,13,4038.000000,1,0,1,1
,14,17159.000000,0,1,1,1
,15,2242345.000000,1,1,1,1
