"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,448.000000,0,0,0,0,0
,1,65.000000,1,0,0,0,0
,2,68.000000,0,1,0,0,0
,3,44.000000,1,1,0,0,0
,4,1.000000,0,0,1,0,0
,6,17.000000,0,1,1,0,0
,7,2.000000,1,1,1,0,0
,8,1632.000000,0,0,0,1,0
,9,858.000000,1,0,0,1,0
,10,842.000000,0,1,0,1,0
,11,999.000000,1,1,0,1,0
,12,713.000000,0,0,1,1,0
,13,1343.000000,1,0,1,1,0
,14,12993.000000,0,1,1,1,0
,15,134248.000000,1,1,1,1,0
,16,24.000000,0,0,0,0,1
,17,319.000000,1,0,0,0,1
,19,94.000000,1,1,0,0,1
,23,2.000000,1,1,1,0,1
,24,380.000000,0,0,0,1,1
,25,10259.000000,1,0,0,1,1
,26,126.000000,0,1,0,1,1
,27,8192.000000,1,1,0,1,1
,28,1184.000000,0,0,1,1,1
,29,17266.000000,1,0,1,1,1
,30,9468.000000,0,1,1,1,1
,31,2085671.000000,1,1,1,1,1
