"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,160.000000,0,0,0,0
,2,1569.000000,0,1,0,0
,3,181.000000,1,1,0,0
,4,2.000000,0,0,1,0
,6,1174.000000,0,1,1,0
,7,10979.000000,1,1,1,0
,8,50.000000,0,0,0,1
,10,5979.000000,0,1,0,1
,11,376.000000,1,1,0,1
,12,1.000000,0,0,1,1
,14,22292.000000,0,1,1,1
,15,2244495.000000,1,1,1,1
