"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,800.000000,0,0,0,0,0
,1,256.000000,1,0,0,0,0
,2,666.000000,0,1,0,0,0
,3,291.000000,1,1,0,0,0
,4,30.000000,0,0,1,0,0
,5,141.000000,1,0,1,0,0
,6,28.000000,0,1,1,0,0
,7,229.000000,1,1,1,0,0
,8,250.000000,0,0,0,1,0
,9,49.000000,1,0,0,1,0
,10,6067.000000,0,1,0,1,0
,11,8561.000000,1,1,0,1,0
,12,11.000000,0,0,1,1,0
,13,68.000000,1,0,1,1,0
,14,177.000000,0,1,1,1,0
,15,8248.000000,1,1,1,1,0
,16,5.000000,0,0,0,0,1
,17,69.000000,1,0,0,0,1
,18,33.000000,0,1,0,0,1
,19,202.000000,1,1,0,0,1
,20,8.000000,0,0,1,0,1
,21,1117.000000,1,0,1,0,1
,22,11.000000,0,1,1,0,1
,23,4737.000000,1,1,1,0,1
,24,2.000000,0,0,0,1,1
,25,16.000000,1,0,0,1,1
,26,463.000000,0,1,0,1,1
,27,11934.000000,1,1,0,1,1
,28,1.000000,0,0,1,1,1
,29,113.000000,1,0,1,1,1
,30,120.000000,0,1,1,1,1
,31,2242555.000000,1,1,1,1,1
