"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,186.000000,0,0,0,0
,1,50.000000,1,0,0,0
,2,211.000000,0,1,0,0
,3,145.000000,1,1,0,0
,4,624.000000,0,0,1,0
,5,1106.000000,1,0,1,0
,6,303.000000,0,1,1,0
,7,1918.000000,1,1,1,0
,8,62.000000,0,0,0,1
,10,288.000000,0,1,0,1
,11,109.000000,1,1,0,1
,12,1900.000000,0,0,1,1
,13,3423.000000,1,0,1,1
,14,57410.000000,0,1,1,1
,15,2219523.000000,1,1,1,1
