"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5","OBS6"
,0,805.000000,0,0,0,0,0,0
,1,40.000000,1,0,0,0,0,0
,2,43.000000,0,1,0,0,0,0
,3,1.000000,1,1,0,0,0,0
,4,1250.000000,0,0,1,0,0,0
,5,2621.000000,1,0,1,0,0,0
,6,43.000000,0,1,1,0,0,0
,7,145.000000,1,1,1,0,0,0
,8,90.000000,0,0,0,1,0,0
,9,67.000000,1,0,0,1,0,0
,10,264.000000,0,1,0,1,0,0
,11,110.000000,1,1,0,1,0,0
,12,585.000000,0,0,1,1,0,0
,13,3302.000000,1,0,1,1,0,0
,14,539.000000,0,1,1,1,0,0
,15,2597.000000,1,1,1,1,0,0
,16,40.000000,0,0,0,0,1,0
,17,1.000000,1,0,0,0,1,0
,20,288.000000,0,0,1,0,1,0
,21,1691.000000,1,0,1,0,1,0
,22,41.000000,0,1,1,0,1,0
,23,208.000000,1,1,1,0,1,0
,24,2.000000,0,0,0,1,1,0
,28,107.000000,0,0,1,1,1,0
,29,818.000000,1,0,1,1,1,0
,30,157.000000,0,1,1,1,1,0
,31,946.000000,1,1,1,1,1,0
,32,147.000000,0,0,0,0,0,1
,33,7.000000,1,0,0,0,0,1
,34,70.000000,0,1,0,0,0,1
,35,2.000000,1,1,0,0,0,1
,36,268.000000,0,0,1,0,0,1
,37,726.000000,1,0,1,0,0,1
,38,245.000000,0,1,1,0,0,1
,39,637.000000,1,1,1,0,0,1
,40,4.000000,0,0,0,1,0,1
,41,6.000000,1,0,0,1,0,1
,42,302.000000,0,1,0,1,0,1
,43,61.000000,1,1,0,1,0,1
,44,225.000000,0,0,1,1,0,1
,45,1220.000000,1,0,1,1,0,1
,46,2276.000000,0,1,1,1,0,1
,47,9471.000000,1,1,1,1,0,1
,48,169.000000,0,0,0,0,1,1
,49,1.000000,1,0,0,0,1,1
,50,309.000000,0,1,0,0,1,1
,51,1.000000,1,1,0,0,1,1
,52,2719.000000,0,0,1,0,1,1
,53,15398.000000,1,0,1,0,1,1
,54,8759.000000,0,1,1,0,1,1
,55,45021.000000,1,1,1,0,1,1
,56,19.000000,0,0,0,1,1,1
,58,938.000000,0,1,0,1,1,1
,59,31.000000,1,1,0,1,1,1
,60,1221.000000,0,0,1,1,1,1
,61,11642.000000,1,0,1,1,1,1
,62,146784.000000,0,1,1,1,1,1
,63,2021778.000000,1,1,1,1,1,1
