"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4","OBS5"
,0,238.000000,0,0,0,0,0
,1,195.000000,1,0,0,0,0
,4,543.000000,0,0,1,0,0
,5,1064.000000,1,0,1,0,0
,6,41.000000,0,1,1,0,0
,7,424.000000,1,1,1,0,0
,8,34.000000,0,0,0,1,0
,12,439.000000,0,0,1,1,0
,13,639.000000,1,0,1,1,0
,14,1460.000000,0,1,1,1,0
,15,13558.000000,1,1,1,1,0
,16,186.000000,0,0,0,0,1
,17,169.000000,1,0,0,0,1
,20,449.000000,0,0,1,0,1
,21,5613.000000,1,0,1,0,1
,23,1177.000000,1,1,1,0,1
,24,27.000000,0,0,0,1,1
,25,11.000000,1,0,0,1,1
,26,1.000000,0,1,0,1,1
,28,752.000000,0,0,1,1,1
,29,14338.000000,1,0,1,1,1
,30,1301.000000,0,1,1,1,1
,31,2244599.000000,1,1,1,1,1
