"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,133.000000,0,0,0,0
,1,5.000000,1,0,0,0
,2,406.000000,0,1,0,0
,3,48.000000,1,1,0,0
,4,356.000000,0,0,1,0
,5,474.000000,1,0,1,0
,6,508.000000,0,1,1,0
,7,3587.000000,1,1,1,0
,8,54.000000,0,0,0,1
,10,2030.000000,0,1,0,1
,11,130.000000,1,1,0,1
,12,73.000000,0,0,1,1
,13,68.000000,1,0,1,1
,14,17990.000000,0,1,1,1
,15,2261396.000000,1,1,1,1
