"OID_","Value_","Count_","OBS1","OBS2","OBS3","OBS4"
,0,676.000000,0,0,0,0
,1,7.000000,1,0,0,0
,2,8723.000000,0,1,0,0
,3,460.000000,1,1,0,0
,4,150.000000,0,0,1,0
,5,320.000000,1,0,1,0
,6,9614.000000,0,1,1,0
,7,25277.000000,1,1,1,0
,8,54.000000,0,0,0,1
,9,4.000000,1,0,0,1
,10,2869.000000,0,1,0,1
,11,358.000000,1,1,0,1
,12,46.000000,0,0,1,1
,13,990.000000,1,0,1,1
,14,17886.000000,0,1,1,1
,15,2219824.000000,1,1,1,1
